date,platform,region,region_name,source_name,source_url,app_name,app_id,developer,category,is_rpg,release_date,url,first_seen_date
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,死神少年,com.BillionaireGames.TicketHero,BillionaireGames,角色扮演,True,,https://play.google.com/store/apps/details?id=com.BillionaireGames.TicketHero,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Never Grave,com.Pocketpair.NeverGrave,Pocketpair Publishing,冒險,True,,https://play.google.com/store/apps/details?id=com.Pocketpair.NeverGrave,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Servant of the Lake,com.RustyLake.ServantOfTheLake,Rusty Lake,冒險,True,,https://play.google.com/store/apps/details?id=com.RustyLake.ServantOfTheLake,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,協力魔法防衛戰：養成你的魔法師,com.TeamSparta.CSD,Teamsparta Inc.,策略,True,,https://play.google.com/store/apps/details?id=com.TeamSparta.CSD,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,地堡隨機防禦,com.TeamSparta.brd,Teamsparta Inc.,策略,False,,https://play.google.com/store/apps/details?id=com.TeamSparta.brd,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,UnGodly,com.azragames.ungodly,Azra Games,角色扮演,True,,https://play.google.com/store/apps/details?id=com.azragames.ungodly,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,勁爆餐廳：合併&料理 - 療癒小鎮休閒單機不用網路的遊戲,com.bigcool.puzzle.merge.kitchen,Bigcool Games,冒險,True,,https://play.google.com/store/apps/details?id=com.bigcool.puzzle.merge.kitchen,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,風味餐廳：合併&料理 - 療癒小鎮休閒離線單機解謎遊戲,com.bigcool.puzzle.merge.tasty,Bigcool Limited,冒險,True,,https://play.google.com/store/apps/details?id=com.bigcool.puzzle.merge.tasty,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,閃耀吧！嚕咪,com.bilibili.lumi,BILIBILI,冒險,True,,https://play.google.com/store/apps/details?id=com.bilibili.lumi,2026-07-28
2026-07-28,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,BanG Dream! 交織的樂章,com.bilibili.sirius,BILIBILI,冒險,True,,https://play.google.com/store/apps/details?id=com.bilibili.sirius,2026-07-28
